State,Changepoint,FirstSlope,SecondSlope,95 changepoints,95 first slope,95 second slope
AK,17,5.0,5.0,"[17.37, 17.59]","[4.69, 4.7]","[4.65, 4.67]"
AL,18,6.0,6.0,"[18.17, 18.39]","[6.15, 6.16]","[5.82, 5.83]"
